country,year,entity,tag_key,frequency,proportion,rank,in_top5pct
MM,2015,building,building,833122,0.833122,1,True
MM,2015,building,addr:housenumber,116660,0.11666,2,True
MM,2015,building,name,150307,0.150307,3,True
MM,2015,building,amenity,198820,0.19882,4,False
MM,2015,building,shop,148888,0.148888,5,False
MM,2015,building,height,31889,0.031889,6,False
MM,2015,highway,building,160312,0.160312,1,True
MM,2015,highway,addr:housenumber,230499,0.230499,2,True
MM,2015,highway,name,223668,0.223668,3,True
MM,2015,highway,amenity,33966,0.033966,4,False
MM,2015,highway,shop,157066,0.157066,5,False
MM,2015,highway,height,119635,0.119635,6,False
MM,2016,building,building,614522,0.614522,1,True
MM,2016,building,addr:housenumber,283243,0.283243,2,True
MM,2016,building,name,190818,0.190818,3,True
MM,2016,building,amenity,101849,0.101849,4,False
MM,2016,building,shop,99377,0.099377,5,False
MM,2016,building,height,28401,0.028401,6,False
MM,2016,highway,building,362305,0.362305,1,True
MM,2016,highway,addr:housenumber,102195,0.102195,2,True
MM,2016,highway,name,178108,0.178108,3,True
MM,2016,highway,amenity,117326,0.117326,4,False
MM,2016,highway,shop,18838,0.018838,5,False
MM,2016,highway,height,52870,0.05287,6,False
MM,2017,building,building,111954,0.111954,1,True
MM,2017,building,addr:housenumber,113543,0.113543,2,True
MM,2017,building,name,44644,0.044644,3,True
MM,2017,building,amenity,174968,0.174968,4,False
MM,2017,building,shop,51165,0.051165,5,False
MM,2017,building,height,147776,0.147776,6,False
MM,2017,highway,building,788828,0.788828,1,True
MM,2017,highway,addr:housenumber,227297,0.227297,2,True
MM,2017,highway,name,295523,0.295523,3,True
MM,2017,highway,amenity,15342,0.015342,4,False
MM,2017,highway,shop,127438,0.127438,5,False
MM,2017,highway,height,122030,0.12203,6,False
MM,2018,building,building,773276,0.773276,1,True
MM,2018,building,addr:housenumber,347402,0.347402,2,True
MM,2018,building,name,285213,0.285213,3,True
MM,2018,building,amenity,76938,0.076938,4,False
MM,2018,building,shop,140517,0.140517,5,False
MM,2018,building,height,35172,0.035172,6,False
MM,2018,highway,building,868662,0.868662,1,True
MM,2018,highway,addr:housenumber,170480,0.17048,2,True
MM,2018,highway,name,188526,0.188526,3,True
MM,2018,highway,amenity,41444,0.041444,4,False
MM,2018,highway,shop,179779,0.179779,5,False
MM,2018,highway,height,90514,0.090514,6,False
MM,2019,building,building,600599,0.600599,1,True
MM,2019,building,addr:housenumber,399508,0.399508,2,True
MM,2019,building,name,121352,0.121352,3,True
MM,2019,building,amenity,172837,0.172837,4,False
MM,2019,building,shop,107647,0.107647,5,False
MM,2019,building,height,90913,0.090913,6,False
MM,2019,highway,building,305437,0.305437,1,True
MM,2019,highway,addr:housenumber,371205,0.371205,2,True
MM,2019,highway,name,101873,0.101873,3,True
MM,2019,highway,amenity,134713,0.134713,4,False
MM,2019,highway,shop,147803,0.147803,5,False
MM,2019,highway,height,149961,0.149961,6,False
MM,2020,building,building,569517,0.569517,1,True
MM,2020,building,addr:housenumber,374232,0.374232,2,True
MM,2020,building,name,125341,0.125341,3,True
MM,2020,building,amenity,73351,0.073351,4,False
MM,2020,building,shop,168433,0.168433,5,False
MM,2020,building,height,25773,0.025773,6,False
MM,2020,highway,building,503347,0.503347,1,True
MM,2020,highway,addr:housenumber,420330,0.42033,2,True
MM,2020,highway,name,221807,0.221807,3,True
MM,2020,highway,amenity,132910,0.13291,4,False
MM,2020,highway,shop,48466,0.048466,5,False
MM,2020,highway,height,26877,0.026877,6,False
MM,2021,building,building,217363,0.217363,1,True
MM,2021,building,addr:housenumber,178272,0.178272,2,True
MM,2021,building,name,279439,0.279439,3,True
MM,2021,building,amenity,83835,0.083835,4,False
MM,2021,building,shop,135622,0.135622,5,False
MM,2021,building,height,75012,0.075012,6,False
MM,2021,highway,building,507542,0.507542,1,True
MM,2021,highway,addr:housenumber,41988,0.041988,2,True
MM,2021,highway,name,206209,0.206209,3,True
